year,field,consortium,ncsfixed,p10fixed,citsyearflex,author_first,author_et_al,title,source,volume,issue,pages,doi
2002,OB,NULL,0.68108820969641148,0,1.2,"SPAANS, WA","Sluijs, MB; van Roosmalen, J; BLEKER, OP","Risk factors at caesarean section and failure of subsequent trial, of labour",EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,100,2,163-166,NULL
2002,OB,NULL,1.0216323145446171,0,1.8,"STEVENS, GH","Schoot, BC; Smets, MJW; KREMER, B; MANNI, JJ; Gavilanes, AWD; WILMINK, JT; van Heurn, LWE; HASAART, THM",The ex utero intrapartum treatment (EXIT) procedure in fetal neck masses: a case report and review of the literature,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,100,2,246-250,NULL
2002,OB,NULL,0.64821361997923044,0,1,"VANWIJK, MJ","BOER, K; van der Meulen, ET; BLEKER, OP; SPAAN, JAE; VANBAVEL, E",Resistance artery smooth muscle function in pregnancy and preeclampsia,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,186,1,148-154,10.1067/mob.2002.119184
2002,OB,NULL,2.1791141929933362,0,3.2666666666666666,"LAUDY, JAM","TIBBOEL, D; ROBBEN, SGF; de Krijger, RR; de Ridder, MAJ; WLADIMIROFF, JW","Prenatal prediction of pulmonary hypoplasia: Clinical, biometric, and Doppler velocity correlates",PEDIATRICS,109,2,250-258,NULL
2002,OB,NULL,0,0,0,"van Eijndhoven, HWF","SLANGEN, BFM; van der Heijden, OWH; Aardenburg, R; Spaanderman, MEA; PEETERS, LLH","Hemodynamic changes in pseudopregnancy in chronically instrumented, conscious rats are preserved after hysterectomy",PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,443,3,427-431,NULL
2002,GYN,NULL,3.2552582628882303,1,8.8666666666666671,"ROSENDAAL, FR","HELMERHORST, FM; VANDENBROUCKE, JP",Female hormones and thrombosis,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,22,2,201-210,NULL
2002,ONC,NULL,0.83544541005458428,0,1.7333333333333334,"HASENBURG, A","Salama, JK; Van, TJ; Amosson, C; CHIU, JK; KIEBACK, DG",Evaluation of patients after extraperitoneal lymph node dissection and subsequent radiotherapy for cervical cancer,GYNECOLOGIC ONCOLOGY,84,2,321-326,10.1006/gyno.2001.6528
2002,VPG,NULL,0.64324997582438859,0,1.1333333333333333,"FAUSER, BCJM","BOUCHARD, P; BENNINK, HJTC; COLLINS, JA; DEVROEY, P; EVERS, JLH; Van Steirteghem, A",Alternative approaches in IVF,HUMAN REPRODUCTION UPDATE,8,1,1-9,NULL
2002,VPG,NULL,0.68108820969641148,0,1.2,"RAMOS, L","KLEINGELD, P; Meuleman, E; van Kooy, R; KREMER, J; Braat, D; WETZELS, A",Assessment of DNA fragmentation of spermatozoa that were surgically retrieved from men with obstructive azoospermia,FERTILITY AND STERILITY,77,2,233-237,NULL
2002,VPG,NULL,8.513602621205143,1,15,"BANCSI, LFJMM","BROEKMANS, FJM; EIJKEMANS, MJC; De Jong, FH; HABBEMA, JDF; te Velde, ER",Predictors of poor ovarian response in in vitro fertilization: a prospective study comparing basal markers of ovarian reserve,FERTILITY AND STERILITY,77,2,328-336,NULL
2002,VPG,NULL,16.005572927865671,1,28.199999999999999,"de Vet, A","LAVEN, JSE; De Jong, FH; THEMMEN, APN; FAUSER, BCJM",Antimullerian hormone serum levels: a putative marker for ovarian aging,FERTILITY AND STERILITY,77,2,357-362,NULL
2002,VPG,NULL,0.34054410484820574,0,0.59999999999999998,"TUERLINGS, JHAM","Van Golde, RJT; Oudakker, AR; YNTEMA, HG; KREMER, JAM",Familial oliguasthenoteratozoospermia: evidence of autosomal dominant inheritance with sex-limited expression,FERTILITY AND STERILITY,77,2,415-418,NULL
2002,ONC,NULL,0.35345767348463175,0,0.73333333333333328,"HASENBURG, A","FISCHER, DC; TONG, XW; Rojas-Martinez, A; Nyberg-Hoffman, C; Orlowska-Volk, M; KOHLBERGER, P; KAUFMAN, RH; RAMZY, I; Aguilar-Cordova, E; KIEBACK, DG",Histologic and immunohistochemical analysis of tissue response to adenovirus-mediated herpes simplex thymidine kinase gene therapy of ovarian cancer,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,12,1,66-73,NULL
2002,GYN,NULL,0.91873904218301261,0,1.6000000000000001,"Smolders, RGV","Vogelvang, TE; Mijatovic, V; van Baal, WM; Neele, SJM; NETELENBOS, JC; KENEMANS, P; Van der Mooren, MJ","A 2-year, randomized, comparative, placebo-controlled study on the effects of raloxifene on lipoprotein(a) and homocysteine",MATURITAS,41,2,105-114,NULL
2002,OB,NULL,0.79700667566836592,0,1.0666666666666667,"van Eijk, L","Cohen-Overbeek, TE; den Hollander, NS; NIJMAN, JM; WLADIMIROFF, JW",Unilateral multicystic dysplastic kidney: a combined pre- and postnatal assessment,ULTRASOUND IN OBSTETRICS & GYNECOLOGY,19,2,180-183,NULL
2002,OB,NULL,1.1177652523540076,0,3.3333333333333335,"Evers, IM","van der Schoot, B; ter Braak, EWMT; JANSSEN, N; de Valk, HW; VISSER, GHA",Risk indicators predictive for severe hypoglycemia during the first trimester of type 1 diabetic pregnancy,DIABETES CARE,25,3,554-559,NULL
2002,ONC,NULL,3.1365677413960324,1,9.9333333333333336,"van Duin, M","SNIJDERS, PJF; SCHRIJNEMAKERS, HFJ; VOORHORST, FJ; ROZENDAAL, L; Nobbenhuis, MAE; van den Brule, AJC; VERHEIJEN, RHM; Helmerhorst, TJ; MEIJER, CJLM",Human papillomavirus 16 load in normal and abnormal cervical scrapes: An indicator of CINII/III and viral clearance,INTERNATIONAL JOURNAL OF CANCER,98,4,590-595,10.1002/ijc.10232
2002,VPG,NULL,0.5474838132668709,0,1.4666666666666666,"van Dam, EWCM","ROELFSEMA, F; VELDHUIS, JD; HELMERHORST, FM; FROLICH, M; MEINDERS, AE; KRANS, HMJ; PIJL, H",Increase in daily LH secretion in response to short-term calorie restriction in obese women with PCOS,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,282,4,E865-E872,10.1152/ajpendo.00458.2001
2002,VPG,NULL,0.2942843905780676,0,1,"Post, MS","HENDRIKS, DF; Van der Mooren, MJ; van Baal, WM; Leurs, JR; EMEIS, JJ; KENEMANS, P; STEHOUWER, CDA","Oral oestradiol/trimegestone replacement reduces procarboxypeptidase U (TAFI): a randomized, placebo-controlled, 12-week study in early postmenopausal women",JOURNAL OF INTERNAL MEDICINE,251,3,245-251,NULL
2002,VPG,NULL,3.2638745368737023,1,9.7333333333333325,"Fauser, BC","de Jong, D; OLIVENNES, F; WRAMSBY, H; TAY, C; Itskovitz-Eldor, J; van Hooren, HG",Endocrine profiles after triggering of final oocyte maturation with GnRH agonist after cotreatment with the GnRH antagonist ganirelix during ovarian hyperstimulation for in vitro fertilization,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,87,2,709-715,NULL
2002,ONC,NULL,0.28919264194197147,0,0.59999999999999998,"Hyde, SE","ANSINK, AC; BURGER, MPM; SCHILTHUIS, MS; van der Velden, J",The impact of performance status on survival in patients of 80 years and older with vulvar cancer,GYNECOLOGIC ONCOLOGY,84,3,388-393,10.1006/gyno.2001.6531
2002,ONC,NULL,0.57838528388394295,0,1.2,"Kolfschoten, GM","Hulscher, TM; Schrier, SM; van Houten, VMM; PINEDO, HM; BOVEN, E",Time-dependent changes in factors involved in the apoptotic process in human ovarian cancer cells as a response to cisplatin,GYNECOLOGIC ONCOLOGY,84,3,404-412,10.1006/gyno.2001.6537
2002,VPG,NULL,4.616264532386789,1,8.1333333333333329,"WONG, WY","MERKUS, HMWM; THOMAS, CMG; MENKVELD, R; ZIELHUIS, GA; Steegers-Theunissen, RPM","Effects of folic acid and zinc sulfate on male factor subfertility: a double-blind, randomized, placebo-controlled trial",FERTILITY AND STERILITY,77,3,491-498,NULL
2002,OB,NULL,0.64821361997923044,0,1,"Wolleswinkel-Van den Bosch, JH","VREDEVOOGD, CB; Borkent-Polet, M; Van Eyck, J; FETTER, WPF; Lagro-Janssen, TLM; Rosink, IH; TREFFERS, PE; WIERENGA, H; Amelink, M; RICHARDUS, JH; Verloove-Vanhorick, P; MACKENBACH, JP",Substandard factors in perinatal care in The Netherlands: a regional audit of perinatal deaths,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,81,1,17-24,NULL
2002,VPG,NULL,0.41622057259225148,0,0.73333333333333328,"LAND, JA","Gijsen, AP; EVERS, JLH; BRUGGEMAN, CA",Chlamydia trachomatis in subfertile women undergoing uterine instrumentation,HUMAN REPRODUCTION,17,3,525-527,NULL
2002,VPG,NULL,0.45405880646427432,0,0.80000000000000004,"RENCKENS, CNM",NULL,Alternative treatments in reproductive medicine: much ado about nothing - 'The fact that millions of people do not master arithmetic does not prove that two times two is anything else than four': W.F. Hermans,HUMAN REPRODUCTION,17,3,528-533,NULL
2002,VPG,NULL,0.26486763710416,0,0.46666666666666667,"Oosterhuis, GJE","VERMES, I; Michgelsen, HWB; SCHOEMAKER, J; LAMBALK, CB",Follicle stimulating hormone measured in unextracted urine throughout the menstrual cycle correlates with age and ovarian reserve,HUMAN REPRODUCTION,17,3,641-646,NULL
2002,VPG,NULL,1.1729852500327087,0,2.0666666666666669,"van Weering, HGI","SCHATS, R; MCDONNELL, J; Vink, JM; VERMEIDEN, JPW; HOMPES, PGA",The impact of the embryo transfer catheter on the pregnancy rate in IVF,HUMAN REPRODUCTION,17,3,666-670,NULL
2002,VPG,NULL,0.87027937905652575,0,1.5333333333333334,"Veenemans, LMW","van der Linden, PJQ",The value of Chlamydia trachomatis antibody testing in predicting tubal factor infertility,HUMAN REPRODUCTION,17,3,695-698,NULL
2002,VPG,NULL,0.83244114518450296,0,1.4666666666666666,"Gijsen, AP","LAND, JA; Goossens, VJ; Slobbe, MEP; BRUGGEMAN, CA",Chlamydia antibody testing in screening for tubal factor subfertility: the significance of IgG antibody decline over time,HUMAN REPRODUCTION,17,3,699-703,NULL
2002,ONC,NULL,2.4418916644425486,1,7.7333333333333334,"Dove-Edwin, I","Boks, D; GOFF, S; KENTER, GG; Garpenter, R; VASEN, HFA; THOMAS, HJW",The outcome of endometrial carcinoma surveillance by ultrasound scan in women at risk of hereditary nonpolyposis colorectal carcinoma and familial colorectal carcinoma,CANCER,94,6,1708-1712,NULL
2002,GYN,NULL,0.21244902071173982,0,0.26666666666666666,"VIERHOUT, ME","van der Plas-de Koning, YWCM",Diagnosis of posterior enterocele - Comparison of rectal ultrasonography with intraoperative diagnosis,JOURNAL OF ULTRASOUND IN MEDICINE,21,4,383-387,NULL
2002,OB,NULL,7.5676467744045725E-2,0,0.13333333333333333,"Schuring-Blom, GH","BOER, K; Knegt, AC; VERJAAL, M; LESCHOT, NJ",Trisomy 13 or 18 (mosaicism) in first trimester cytotrophoblast cells: false-positive results in 11 out of 51 cases,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,101,2,161-168,NULL
2002,ONC,NULL,3.7838233872022863E-2,0,6.6666666666666666E-2,"Sloots, K","AUSEMS, MGEM; De Haan, HH",Ovarian cancer in BRCA-positive women: vigilance is mandatory despite screening programs,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,101,2,196-198,NULL
2002,VPG,NULL,1.5257246413685601,0,3.1333333333333333,"de Bruin, JP","DORLAND, M; SPEK, ER; POSTHUMA, G; van Haaften, M; LOOMAN, CWN; te Velde, ER",Ultrastructure of the resting ovarian follicle pool in healthy young women,BIOLOGY OF REPRODUCTION,66,4,1151-1160,NULL
2002,OB,NULL,1.0673212373844911,0,1.6000000000000001,"Wijnberger, LDE","NIKKELS, PGJ; van Dongen, AJCM; Noorlander, CW; MULDER, EJH; SCHRAMA, LH; VISSER, GHA",Expression in the placenta of neuronal markers for perinatal brain damage,PEDIATRIC RESEARCH,51,4,492-496,NULL
2002,GYN,NULL,0.2756379332181681,0,0.20000000000000001,"Vanholder, T","OPSOMER, G; Govaere, JLJ; Goryn, M; De Kruif, A","Cystic ovarian disease in dairy cattle: aetiology, pathogenesis, and risk factors",TIJDSCHRIFT VOOR DIERGENEESKUNDE,127,5,146-155,NULL
2002,GYN,NULL,2.2345747620488781,0,5.666666666666667,"ROSENDAAL, FR","VESSEY, M; RUMLEY, A; DALY, E; WOODWARD, M; HELMERHORST, FM; LOWE, GD","Hormonal replacement therapy, prothrombotic mutations and the risk of venous thrombosis",BRITISH JOURNAL OF HAEMATOLOGY,116,4,851-854,NULL
2002,VPG,NULL,1.8429073666008516E-2,0,6.6666666666666666E-2,"MACKLON, NS","FAUSER, BCJM",Gonadotropin therapy for the treatment of anovulation and for ovarian hyperstimulation for IVF,MOLECULAR AND CELLULAR ENDOCRINOLOGY,186,2,159-161,NULL
2002,OB,NULL,0.30690085844705872,0,0.46666666666666667,"Wijnberger, LDE","Mostert, JM; van Dam, KI; MOL, BWJ; BROUWERS, H; VISSER, GHA",Comparison of single and repeated antenatal corticosteroid therapy to prevent neonatal death and morbidity in the preterm infant,EARLY HUMAN DEVELOPMENT,67,1-2,29-36,NULL
2002,VPG,NULL,2.9513822420177829,1,5.2000000000000002,"Hunault, CC","EIJKEMANS, MJC; PIETERS, MHEC; VELDE, ERT; HABBEMA, JDF; FAUSER, BCJM; MACKLON, NS",A prediction model for selecting patients undergoing in vitro fertilization for elective single embryo transfer,FERTILITY AND STERILITY,77,4,725-732,NULL
2002,VPG,NULL,4.3513968952826287,1,7.666666666666667,"Pelinck, MJ","HOEK, A; SIMONS, AHM; HEINEMAN, MJ",Efficacy of natural cycle IVF: a review of the literature,HUMAN REPRODUCTION UPDATE,8,2,129-139,NULL
2002,VPG,NULL,17.935322855338836,1,31.600000000000001,"VELDE, ERT","PEARSON, PL",The variability of female reproductive ageing,HUMAN REPRODUCTION UPDATE,8,2,141-154,NULL
2002,VPG,NULL,0.5675735080803429,0,1,"Zwart-van Rijkom, JEF","BROEKMANS, FJ; LEUFKENS, HGM",From HMG through purified urinary FSH preparations to recombinant FSH: a substitution study,HUMAN REPRODUCTION,17,4,857-865,NULL
2002,GYN,NULL,3.7838233872022863E-2,0,6.6666666666666666E-2,"van Vliet, HAAM","GRIMES, DA; HELMERHORST, FM; SCHULZ, KF",Biphasic versus monophasic oral contraceptives for contraception: a Cochrane review,HUMAN REPRODUCTION,17,4,870-873,NULL
2002,OB,NULL,1.7783969919850744,0,3.1333333333333333,"Emmer, PM","STEEGERS, EAP; KERSTENS, HMJ; Bulten, J; Nelen, WLDM; BOER, K; JOOSTEN, I",Altered phenotype of HLA-G expressing trophoblast and decidual natural killer cells in pathological pregnancies,HUMAN REPRODUCTION,17,4,1072-1080,NULL
2002,OB,NULL,1.3243381855208001,0,2.3333333333333335,"Haak, MC","BARTELINGS, MM; JACKSON, DG; WEBB, S; Van Vugt, JMG; Gittenberger-De Groot, AC",Increased nuchal translucency is associated with jugular lymphatic distension,HUMAN REPRODUCTION,17,4,1086-1092,NULL
2002,VPG,NULL,2.7243528387856459,1,4.7999999999999998,"PIERIK, FH","BURDORF, A; Nijman, JMR; Keizer-Schrama, SMPFD; JUTTMANN, RE; WEBER, RFA",A high hypospadias rate in The Netherlands,HUMAN REPRODUCTION,17,4,1112-1115,NULL
2002,OB,NULL,1.3774232245674032,0,3,"Umur, A","van Gemert, MJC; NIKKELS, PGJ; ROSS, MG",Monochorionic twins and twin-twin transfusion syndrome: The protective role of arterio-arterial anastomoses,PLACENTA,23,2-3,201-209,10.1053/plac.2001.0758
2002,OB,NULL,5.9635653038089202,1,9.1999999999999993,"Gaytant, MA","STEEGERS, EAP; SEMMEKROT, BA; Merkus, HMMW; GALAMA, JMD",Congenital cytomegalovirus infection: Review of the epidemiology and outcome,OBSTETRICAL & GYNECOLOGICAL SURVEY,57,4,245-256,NULL
2002,OB,NULL,1.05947054841664,0,1.8666666666666667,"Jeurgens-Borst, AJCM","Bekkers, RLM; SPORKEN, JMJ; Van den Berg, PP",Use of insulin like growth factor binding protein-1 in the diagnosis of ruptured fetal membranes,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,102,1,11-14,NULL
2002,OB,NULL,0.18919116936011429,0,0.33333333333333331,"Elferink-Stinkens, PM","BRAND, R; Amelink-Verburg, MP; MERKUS, JMWM; den Ouden, AL; Van Hemel, OJS",Randomised clinical trial on the effect of the Dutch obstetric peer review system,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,102,1,21-30,NULL
2002,OB,NULL,0.13341515467306139,0,0.20000000000000001,"Van Bel, F","Valk, L; UITERWAAL, CSPM; EGBERTS, J; KREDIET, TG","Plasma guanosine 3 ',5 '-cyclic monophosphate and severity of peri/intraventricular haemorrhage in the preterm newborn",ACTA PAEDIATRICA,91,4,434-439,NULL
2002,ONC,NULL,0.25373471137120979,0,0.73333333333333328,"KIEBACK, DG","FISCHER, DC; Engehausen, DG; SAUERBREI, W; Oehler, MK; TONG, XW; Aguilar-Cordova, E",Intraperitoneal adenovirus-mediated suicide gene therapy in combination with either topotecan or paclitaxel in nude mice with human ovarian cancer,CANCER GENE THERAPY,9,5,478-481,10.1038/sj/cgt/7700462
2002,OB,NULL,0.6530463048359294,0,1.3999999999999999,"LACHMEIJER, AMA","Nosti-Escanilla, MP; Bastiaans, EB; PALS, G; SANKUIJL, LA; KOSTENSE, PJ; AARNOUDSE, JG; CRUSIUS, JBA; PENA, AS; DEKKER, GA; ARNGRIMSSON, R; ten Kate, LP",Linkage and association studies of IL1B and IL1RN gene polymorphisms in preeclampsia,HYPERTENSION IN PREGNANCY,21,1,23-38,NULL
2002,OB,NULL,0.43536420322395286,0,0.93333333333333324,"Zusterzeel, PLM","Steegers-Theunissen, RPM; HARREN, FJM; Stekkinger, E; Kateman, H; TIMMERMAN, BH; Berkelmans, R; NIEUWENHUIZEN, A; PETERS, WHM; Raijmakers, MTM; STEEGERS, EAP",Ethene and other biomarkers of oxidative stress in hypertensive disorders of pregnancy,HYPERTENSION IN PREGNANCY,21,1,39-49,NULL
2002,OB,NULL,0.31097443087425203,0,0.66666666666666663,"Hehenkamp, WJK","RANG, S; van Goudoever, J; BOS, WJW; WOLF, H; van der Post, JAM",Comparison of Portapres (R) with standard sphygmomanometry in pregnancy,HYPERTENSION IN PREGNANCY,21,1,65-76,NULL
2002,OB,NULL,2.4906458614636433,0.33333333333333331,3.333333333333333,"Boito, S","STRUIJK, PC; Ursem, NTC; STIJNEN, T; WLADIMIROFF, JW",Umbilical venous volume flow in the normally developing and growth-restricted human fetus,ULTRASOUND IN OBSTETRICS & GYNECOLOGY,19,4,344-349,NULL
2002,ONC,NULL,0.35345767348463175,0,0.73333333333333328,"van Doorn, HC","van der Zee, AGJ; PEETERS, PHM; KROEKS, MVAM; Van Eijkeren, MA",Preoperative selection of patients with low-stage endometrial cancer at high risk of pelvic lymph node metastases,INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,12,2,144-148,NULL
2002,VPG,NULL,0.35768488075328247,0,1.0666666666666667,"Van Heusden, AM","BENNINK, HJTC; FAUSER, BCJM",FSH and ovarian response: spontaneous recovery of pituitary-ovarian activity during the pill-free period vs. exogenous recombinant FSH during high-dose combined oral contraceptives,CLINICAL ENDOCRINOLOGY,56,4,509-517,NULL
2002,ONC,NULL,2.0840282308604512,0,6.5999999999999996,"Lodder, LN","FRETS, PG; TRIJSBURG, RW; Meijers-Heijboer, EJ; KLIJN, JGM; SEYNAEVE, C; van Geel, AN; Tilanus, MMA; BARTELS, CCM; Verhoog, LC; BREKELMANS, CTM; BURGER, CW; NIERMEIJER, MF",One year follow-up of women opting for presymptomatic testing for BRCA1 and BRCA2: Emotional impact of the test outcome and decisions on risk management (Surveillance or prophylactic surgery),BREAST CANCER RESEARCH AND TREATMENT,73,2,97-112,NULL
2002,OB,NULL,1.1177652523540076,0,3.3333333333333335,"ter Braak, EWMT","Evers, IM; ERKELENS, DW; VISSER, GHA",Maternal hypoglycemia during pregnancy in type 1 diabetes: maternal and fetal consequences,DIABETES-METABOLISM RESEARCH AND REVIEWS,18,2,96-105,10.1002/dmrr.271
2002,ONC,NULL,0.41395772751564364,0,0.8666666666666667,"MOURITS, MJE","HOLLEMA, H; de Vries, EGE; ten Hoor, KA; WILLEMSE, PHB; van der Zee, AGJ",Apoptosis and apoptosis-associated parameters in relation to tamoxifen exposure in postmenopausal endometrium,HUMAN PATHOLOGY,33,3,341-346,10.1053/hupa.2002.32226
2002,ONC,NULL,0.21050790210711626,0,0.66666666666666663,"Boss, EA","MASSUGER, LFAG; THOMAS, CMG; Geurts-Moespot, A; van Schaik, JHM; BOONSTRA, H; SWEEP, CGJ",Clinical value of components of the plasminogen activation system in ovarian cyst fluid,ANTICANCER RESEARCH,22,1A,275-282,NULL
2002,OB,NULL,0.25355763549616622,0,0.66666666666666663,"de Weerd, S","van der Bij, AK; CIKOT, RJLM; Braspenning, JCC; BRAAT, DDM; STEEGERS, EAP",Preconception care: A screening tool for health assessment and risk detection,PREVENTIVE MEDICINE,34,5,505-511,10.1006/pmed.2002.1009
2002,OB,NULL,1.5124984466182043,0,2.3333333333333335,"LIND, J","WALLENBURG, HCS",Pregnancy and the Ehlers-Danlos syndrome: a retrospective study in a Dutch population,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,81,4,293-300,NULL
2002,ONC,NULL,0.64821361997923044,0,1,"Duyn, A","van Eijkeren, M; KENTER, G; ZWINDERMAN, K; ANSINK, A",Recurrent cervical cancer: detection and prognosis,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,81,4,351-355,NULL
2002,OB,NULL,1.4998608445289501,0,3.2666666666666666,"Sikkema, JM","FRANX, A; BRUINSE, HW; van der Wijk, NG; de Valk, HW; NIKKELS, PGJ",Placental pathology in early onset pre-eclampsia and intra-uterine growth restriction in women with and without thrombophilia,PLACENTA,23,4,337-342,10.1053/plac.2001.0785
2002,GYN,NULL,2.5733360561470899,0.5,6.5333333333333332,"KEMMEREN, JM","TANIS, BC; van den Bosch, MAAJ; BOLLEN, ELEM; HELMERHORST, FM; van der Graaf, Y; ROSENDAAL, FR; ALGRA, A",Risk of arterial thrombosis in relation to oral contraceptives (RATIO) study - Oral contraceptives and the risk of ischemic stroke,STROKE,33,5,1202-1208,10.1161/01.STR.0000015345.61324.3F
2002,GYN,NULL,0.56178513731533308,0,0.8666666666666667,"Vogelvang, TE","Mijatovic, V; KAMP, O; NETELENBOS, JC; Neele, SJM; PINES, A; KENEMANS, P; Van der Mooren, MJ","Neither long-term treatment with raloxifene nor hormone replacement therapy modulate cardiac function in healthy postmenopausal women: Two randomized, placebo-controlled, 2-year studies",AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,186,4,729-736,10.1067/mob.2002.122092
2002,OB,NULL,2.1607120665974349,0,3.3333333333333335,"Koenen, SV","MECENAS, CA; SMITH, GS; JENKINS, S; NATHANIELSZ, PW",Effects of maternal betamethasone administration on fetal and maternal blood pressure and heart rate in the baboon at 0.7 of gestation,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,186,4,812-817,10.1067/mob.2002.121654
2002,OB,NULL,0.49604503221612151,0,0.8666666666666667,"NIKKELS, PGJ","van Gemert, MJC; Sollie-Szarynska, KM; Molendijk, H; TIMMER, B; MACHIN, GA",Rapid onset of severe twin-twin transfusion syndrome caused by placental venous thrombosis,PEDIATRIC AND DEVELOPMENTAL PATHOLOGY,5,3,310-314,10.1007/s10024-001-0156-5
2002,OB,NULL,0.6054117419523658,0,1.0666666666666667,"van Schie, DL","de Jeu, RM; STEYN, DW; ODENDAAL, HJ; Van Geijn, HP",The optimal dosage of ketanserin for patients with severe hypertension in pregnancy,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,102,2,161-166,NULL
2002,OB,NULL,0.99305985191765789,0,2.3999999999999999,"Huizink, AC","de Medina, PGR; MULDER, EJH; VISSER, GHA; BUITELAAR, JK",Coping in normal pregnancy,ANNALS OF BEHAVIORAL MEDICINE,24,2,132-140,NULL
